Decade,GameCount,AvgGenreCount,ActionThemePercent,OpenWorldPercent,MultiplayerPercent,AvgRating
1990,7,1.0,0.0,14.285714285714285,14.285714285714285,91.42857142857143
2000,10,1.6,70.0,0.0,20.0,88.63
2010,28,2.0357142857142856,60.71428571428571,14.285714285714285,25.0,88.02142857142857
2020,5,2.2,80.0,40.0,60.0,87.28
