title,steam_url,tags,description
Grounded,https://store.steampowered.com/app/962130/Grounded/?snr=1_7_7_240_150_1,"Survival, Multiplayer, Co-op, Open World Survival Craft, Base Building, Crafting, Adventure, Open World, Horror, Online Co-Op, Exploration, Action, Sandbox, First-Person, Singleplayer, RPG, Third Person, Cute, Funny, Early Access","The world is a vast, beautiful and dangerous place – especially when you have been shrunk to the size of an ant. Can you thrive alongside the hordes of giant insects, fighting to survive the perils of the backyard?"
The Outlast Trials,https://store.steampowered.com/app/1304930/The_Outlast_Trials/?snr=1_7_7_240_150_1,"Horror, Multiplayer, Co-op, Survival Horror, Psychological Horror, First-Person, PvE, Stealth, Character Customization, Action, Survival, Action-Adventure, Dark Humor, Dark, Realistic, Atmospheric, Alternate History, Science, Adventure, Gore","Red Barrels invites you to experience mind-numbing terror, this time with friends. Whether you go through the trials alone or in teams, if you survive long enough and complete the therapy, Murkoff will happily let you leave… but will you be the same?"
Path of Exile 2,https://store.steampowered.com/app/2694490/Path_of_Exile_2/?snr=1_7_7_240_150_1,"Action RPG, Hack and Slash, RPG, Isometric, Loot, MMORPG, Dark Fantasy, Souls-like, Action, Dungeon Crawler, Adventure, Multiplayer, Online Co-Op, Character Customization, Early Access, Inventory Management, Crafting, Dark, Horror, Singleplayer","Path of Exile 2 is a next generation Action RPG from Grinding Gear Games, featuring co-op for up to six players. Set years after the original Path of Exile, you will return to the dark world of Wraeclast and seek to end the corruption that is spreading."
Unknown,https://store.steampowered.com/app/221100/DayZ/?snr=1_7_7_240_150_1,,No description
Half-Life: Alyx,https://store.steampowered.com/app/546560/HalfLife_Alyx/?snr=1_7_7_240_150_1,"VR, FPS, Story Rich, Horror, Female Protagonist, Shooter, Singleplayer, First-Person, Action, Sci-fi, Atmospheric, Zombies, Beautiful, Aliens, Adventure, Futuristic, Psychological Horror, Memes, Great Soundtrack, Gore","Half-Life: Alyx is Valve’s VR return to the Half-Life series. It’s the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Playing as Alyx Vance, you are humanity’s only chance for survival."
Grounded 2,https://store.steampowered.com/app/2661300/Grounded_2/?snr=1_7_7_240_150_1,"Survival, Multiplayer, Adventure, Action, Base Building, Co-op, Open World, Exploration, Crafting, Open World Survival Craft, Early Access, Sandbox, Online Co-Op, RPG, Third Person, First-Person, Singleplayer, Horror, Split Screen, Survival Horror","Shrunk again, but the world is much larger. In this open-world, single-player or co-op survival adventure, craft weapons and armor, build your base, and traverse the playground on your buggy. But something else is out there—and it hasn’t forgotten you."
Poppy Playtime,https://store.steampowered.com/app/1721470/Poppy_Playtime/?snr=1_7_7_240_150_1,"Horror, Singleplayer, Free to Play, Puzzle, First-Person, Survival Horror, Dark, Psychological Horror, Mystery, Survival, Indie, Adventure, Atmospheric, Lore-Rich, Thriller, 1980s, Action, Cartoony, Action-Adventure, Physics",You must stay alive in this horror/puzzle adventure. Try to survive the vengeful toys waiting for you in the abandoned toy factory. Use your GrabPack to hack electrical circuits or nab anything from afar. Explore the mysterious facility... and don't get caught.
Unknown,https://store.steampowered.com/app/2157830/John_Carpenters_Toxic_Commando/?snr=1_7_7_240_150_1,,No description
Subnautica,https://store.steampowered.com/app/264710/Subnautica/?snr=1_7_7_240_150_1,"Open World Survival Craft, Survival, Horror, Underwater, Open World, Exploration, Crafting, Base Building, Singleplayer, Adventure, First-Person, Multiplayer, Sci-fi, Atmospheric, Aliens, Sandbox, Survival Horror, VR, Action, Indie","Descend into the depths of an alien underwater world filled with wonder and peril. Craft equipment, pilot submarines and out-smart wildlife to explore lush coral reefs, volcanoes, cave systems, and more - all while trying to survive."
Unknown,https://store.steampowered.com/app/2129530/REANIMAL/?snr=1_7_7_240_150_1,,No description
Unknown,https://store.steampowered.com/app/594650/Hunt_Showdown_1896/?snr=1_7_7_240_150_1,Gore,No description
Dying Light: The Beast,https://store.steampowered.com/app/3008130/Dying_Light_The_Beast/?snr=1_7_7_240_150_1,"Zombies, Open World, Multiplayer, First-Person, Parkour, Horror, Action, Co-op Campaign, Gore, Singleplayer, Post-apocalyptic, Exploration, Story Rich, Combat, RPG, Action-Adventure, Violent, Realistic, Adventure, Action RPG","BECOME THE BEAST. SURVIVE THE NIGHT. A terrifying new chapter in the Dying Light universe begins. As Kyle Crane, explore the vast and unpredictable wilderness, uncover a deadly evolution of the infected, and learn to control the beastly powers awakening inside you."
Wallpaper Engine,https://store.steampowered.com/app/431960/Wallpaper_Engine/?snr=1_7_7_240_150_1,"Mature, Utilities, Anime, Software, Design & Illustration, Animation & Modeling, NSFW, First-Person, Indie, Cute, Memes, Action, Singleplayer, Funny, Early Access, Photo Editing, Sandbox, Gaming, Horror, Game Development",Use stunning live wallpapers on your desktop. Animate your own images to create new wallpapers or import videos/websites and share them on the Steam Workshop!
Unknown,https://store.steampowered.com/app/2124490/SILENT_HILL_2/?snr=1_7_7_240_150_1,,No description
YAPYAP,https://store.steampowered.com/app/3834090/YAPYAP/?snr=1_7_7_240_150_1,"Online Co-Op, Multiplayer, Horror, Comedy, Magic, Physics, Dark Fantasy, Survival Horror, Procedural Generation, First-Person, Dungeon Crawler, Action, Exploration, Funny, Co-op, Stealth, Stylized, Action Roguelike, Fantasy, PvE",A magic-themed co-op horror game where you and up to 5 friends are minions summoned by a wizard to break into their rival's towers to cause mayhem. Try to fufill your vandalism target with an assortment of spells while avoiding magical beasts and monsters that protect the tower.
Unknown,https://store.steampowered.com/app/668580/Atomic_Heart/?snr=1_7_7_240_150_1,,No description
DREDGE,https://store.steampowered.com/app/1562430/DREDGE/?snr=1_7_7_240_150_1,"Exploration, Fishing, Lovecraftian, Open World, Adventure, Inventory Management, Mystery, Atmospheric, Psychological Horror, Singleplayer, Horror, RPG, Simulation, Stylized, Survival Horror, Indie, Story Rich, Sailing, Psychological, 3D","DREDGE is a single-player fishing adventure with a sinister undercurrent. Sell your catch, upgrade your boat, and dredge the depths for long-buried secrets. Explore a mysterious archipelago and discover why some things are best left forgotten."
It Takes Two Friend's Pass,https://store.steampowered.com/app/2995920/It_Takes_Two_Friends_Pass/?snr=1_7_7_240_150_1,"Co-op, Multiplayer, Split Screen, Local Co-Op, Online Co-Op, Puzzle, Adventure, Story Rich, Co-op Campaign, Local Multiplayer, Puzzle Platformer, Action-Adventure, 3D Platformer, Emotional, Platformer, Action, Exploration, Atmospheric, Minigames, Female Protagonist","Download Friend's Pass* and play It Takes Two with a friend for free. Just grab a friend who owns the full game, download Friend's Pass for free, and play together!"
Lethal Company,https://store.steampowered.com/app/1966720/Lethal_Company/?snr=1_7_7_240_150_1,"Online Co-Op, Horror, First-Person, Co-op, Survival Horror, Funny, Exploration, Psychological Horror, Sci-fi, PvE, Atmospheric, Procedural Generation, Aliens, Time Management, Adventure, Dungeon Crawler, Action, Early Access, Action-Adventure, Perma Death",A co-op horror about scavenging at abandoned moons to sell scrap to the Company.
Escape the Backrooms,https://store.steampowered.com/app/1943950/Escape_the_Backrooms/?snr=1_7_7_240_150_1,"Horror, Multiplayer, Online Co-Op, Psychological Horror, Co-op, Survival Horror, First-Person, Escape Room, Exploration, Adventure, 3D, Action, Singleplayer, Indie, Stealth, Action-Adventure, Casual, Dungeon Crawler, Early Access, Sexual Content",Escape the Backrooms is a 1-4 player co-op horror exploration game. Traverse 30+ eerie backrooms levels while avoiding entities and other dangers. Try to escape but be warned: survival isn't guaranteed.
Unknown,https://store.steampowered.com/app/3920610/FATAL_FRAME_II_Crimson_Butterfly_REMAKE/?snr=1_7_7_240_150_1,,No description
