title,steam_url,tags,description
Unknown,https://store.steampowered.com/app/570660/The_Binding_of_Isaac_Afterbirth/?snr=1_7_7_240_150_3,Gore,No description
The Walking Trade,https://store.steampowered.com/app/3398110/The_Walking_Trade/?snr=1_7_7_240_150_3,"Management, Simulation, Economy, Post-apocalyptic, Sandbox, Building, Capitalism, Crafting, Immersive Sim, FPS, Survival, Base Building, Physics, Shooter, 3D, Dark Humor, Horror, Stylized, Zombies, Singleplayer","Run a shop in the zombie apocalypse! Trade batteries, craft stock, manage your staff, and fend off undead hordes. Will you be a hero, or profit at any cost? Your choices shape your store - and your fate."
Morimens,https://store.steampowered.com/app/3052450/Morimens/?snr=1_7_7_240_150_3,"Free to Play, Lovecraftian, Visual Novel, Card Game, Roguelike Deckbuilder, Story Rich, RPG, Strategy, Card Battler, Deckbuilding, Roguelite, Turn-Based, Horror, Singleplayer, Adventure, PvP, 2D, Atmospheric, Multiplayer, Mystery","Morimens is a roguelite card-building game inspired by the Cthulhu mythos, where you craft a versatile and intricate deck tailored to your playstyle. The choice is yours to embark on a climb up treacherous towers or engage in tactical battles. Explore misty maps and uncover the truth of the world."
Buckshot Roulette,https://store.steampowered.com/app/2835570/Buckshot_Roulette/?snr=1_7_7_240_150_3,"Multiplayer, Dark, Gambling, Horror, First-Person, Strategy, Singleplayer, Indie, 3D, Psychological, Puzzle, Psychological Horror, Blood, Experimental, Action, Roguelike, Simulation, Surreal, FPS, Roguelite",Play Russian roulette with a 12-gauge shotgun. Four enter. One leaves. Roll the dice with your life. Good luck!
INDUSTRIA 2,https://store.steampowered.com/app/2154070/INDUSTRIA_2/?snr=1_7_7_240_150_3,"Action, FPS, Survival Horror, Story Rich, Atmospheric, Action-Adventure, Singleplayer, Exploration, Dystopian, Immersive Sim, Mystery, Surreal, First-Person, 3D, Horror, Realistic, Adventure, Combat, Female Protagonist, Shooter","INDUSTRIA 2 is a narrative FPS adventure about a woman stranded in a parallel dimension. Explore, scavenge and fight your way through a mysterious boreal landscape consumed by an ever-hungry artificial intelligence to find a way home."
Unknown,https://store.steampowered.com/app/1746860/The_Elder_Scrolls_V_Skyrim_Anniversary_Upgrade/?snr=1_7_7_240_150_3,,No description
Danganronpa V3: Killing Harmony,https://store.steampowered.com/app/567640/Danganronpa_V3_Killing_Harmony/?snr=1_7_7_240_150_3,"Visual Novel, Detective, Female Protagonist, Anime, Story Rich, Mystery, Great Soundtrack, Singleplayer, Psychological Horror, Dark Humor, Horror, Puzzle, Adventure, Dark Comedy, Dark, Atmospheric, Funny, Dating Sim, Memes, Comedy","A new cast of 16 characters find themselves kidnapped and imprisoned in a school. Inside, some will kill, some will die, and some will be punished. Reimagine what you thought high-stakes, fast-paced investigation was as you investigate twisted murder cases and condemn your new friends to death."
Five Nights at Freddy's: Secret of the Mimic,https://store.steampowered.com/app/2215390/Five_Nights_at_Freddys_Secret_of_the_Mimic/?snr=1_7_7_240_150_3,"Horror, Adventure, First-Person, Action, Exploration, Robots, 3D, Action-Adventure, VR, Survival Horror, Atmospheric, Artificial Intelligence, Stealth, Singleplayer, Sci-fi, Thriller, Multiple Endings, Early Access, Story Rich, Underground","Enter the abandoned workshop of Murray’s Costume Manor and unravel the mystery left behind by the reclusive inventor. In Five Nights at Freddy’s: Secret of the Mimic, you’ll step into a world where every dark corner holds a secret and every flicker of light hints at an ever-present threat."
Dead Space™ 3,https://store.steampowered.com/app/1238060/Dead_Space_3/?snr=1_7_7_240_150_3,"Action, Horror, Online Co-Op, Sci-fi, Co-op, Shooter, Third-Person Shooter, Survival, Space, Dark, Singleplayer, Multiplayer, Survival Horror, Futuristic, Thriller, Third Person, Gore, Crafting, Combat, Violent",Journey across space to the icy planet of Tau Volantis with Isaac Clarke and Sgt. John Carver to discover and destroy the source of the Necromorph outbreak.
Unknown,https://store.steampowered.com/app/4249100/Resident_Evil_1996/?snr=1_7_7_240_150_3,,No description
Unknown,https://store.steampowered.com/app/304240/Resident_Evil/?snr=1_7_7_240_150_3,Gore,No description
Creature Kitchen,https://store.steampowered.com/app/3097300/Creature_Kitchen/?snr=1_7_7_240_150_3,"Puzzle, Cooking, Creature Collector, Nature, Cute, First-Person, Cozy, Relaxing, Sandbox, 3D, Casual, Atmospheric, Singleplayer, Nonlinear, Stylized, Indie, Simulation, Family Friendly, Fantasy, Horror","A creepy-cozy cooking simulator where you befriend local wildlife and feed them their favorite snacks! With a strange house to search and forest to explore, the witching hour has only begun."
HumanitZ,https://store.steampowered.com/app/1766060/HumanitZ/?snr=1_7_7_240_150_3,"Survival, Zombies, Open World, Multiplayer, Base Building, Crafting, Sandbox, Isometric, Post-apocalyptic, Shooter, PvP, RPG, Online Co-Op, Singleplayer, Horror, Survival Horror, Action, Adventure, Open World Survival Craft, Combat","HumanitZ is an isometric, open-world sandbox survival game set in a world ended by a zombie outbreak. Survive alone or with friends by scavenging, crafting, building, and fighting to last as long as ‘humanly’ possible. You can’t change the past, but you can fight for the future of humanity."
Mama's Sleeping Angels,https://store.steampowered.com/app/2918310/Mamas_Sleeping_Angels/?snr=1_7_7_240_150_3,"Horror, Multiplayer, Procedural Generation, Adventure, Exploration, Female Protagonist, Choices Matter, Supernatural, Surreal, First-Person, Comedy, Platformer, Stylized, Dark, Team-Based, Demons, Magic, Retro, Singleplayer, Stealth",A 1 to 4 player Y2K dream-exploration game. Free your imaginary friends trapped to eternal sleep by the goddess Mama. Collect cursed items and use weapons to face the monsters in Mama's dreams.
Little Nightmares III,https://store.steampowered.com/app/1392860/Little_Nightmares_III/?snr=1_7_7_240_150_3,"Co-op, Adventure, Horror, Multiplayer, Puzzle, Atmospheric, Online Co-Op, Platformer, Singleplayer, Co-op Campaign, Psychological Horror, Dark, Action, Story Rich, Stealth, 2.5D, Indie, Exploration, Great Soundtrack, Local Co-Op","Little Nightmares III is an atmospheric adventure game in which you follow the journey of Low and Alone, two best friends in search of a way out of the Nowhere. In 2 players online cooperation or solo with an A.I., work together to solve puzzles and survive in this nightmarish world."
Unknown,https://store.steampowered.com/app/3990820/Resident_Evil_Requiem__Deluxe_Kit/?snr=1_7_7_240_150_3,,No description
Demonologist,https://store.steampowered.com/app/1929610/Demonologist/?snr=1_7_7_240_150_3,"Horror, Multiplayer, Online Co-Op, Psychological Horror, Co-op, First-Person, Dark, Demons, Investigation, Surreal, Mystery, Detective, Thriller, Cinematic, Indie, 3D, Action, Tactical, Lovecraftian, Survival Horror","Demonologist is a Co-Op horror game that can be played with at least 1 and up to 4 players. Your goal is to identify the type of evil spirit in cursed places and exorcise it using your equipment, either alone or with your team."
Unknown,https://store.steampowered.com/app/1549970/Aliens_Fireteam_Elite/?snr=1_7_7_240_150_3,,No description
Ghost Janitors,https://store.steampowered.com/app/2772990/Ghost_Janitors/?snr=1_7_7_240_150_3,"Horror, Online Co-Op, Psychological Horror, Multiplayer, Indie, Supernatural, Exploration, Realistic, Adventure, PvE, First-Person, Dark, Co-op, Early Access, Singleplayer, Action-Adventure, Action, Investigation, Hidden Object, Demons",Ghost Janitors is a multiplayer psychological horror game for 1-4 players. Your job? Cleaning haunted houses while avoiding terrifying monsters. Ready to face the spine-tingling challenge with your team?
Unknown,https://store.steampowered.com/app/10090/Call_of_Duty_World_at_War/?snr=1_7_7_240_150_3,,No description
Unknown,https://store.steampowered.com/app/1256670/Library_Of_Ruina/?snr=1_7_7_240_150_3,Gore,No description
Resident Evil 4 - Separate Ways,https://store.steampowered.com/app/2109300/Resident_Evil_4__Separate_Ways/?snr=1_7_7_240_150_3,"Action, Adventure, Female Protagonist, Violent, Gore, Survival Horror, Horror, Singleplayer, Sexual Content",No description
Unknown,https://store.steampowered.com/app/254700/Resident_Evil_4_2005/?snr=1_7_7_240_150_3,Gore,No description
Poppy Playtime - Chapter 2,https://store.steampowered.com/app/1817490/Poppy_Playtime__Chapter_2/?snr=1_7_7_240_150_3,"Adventure, Action, Horror, Indie, Puzzle, Singleplayer, First-Person, Survival Horror, Mystery, Dark, Free to Play, Story Rich, Exploration, Psychological Horror, Survival, Thriller, Atmospheric, Action-Adventure, Cute, Physics",No description
Five Nights at Freddy's: Security Breach,https://store.steampowered.com/app/747660/Five_Nights_at_Freddys_Security_Breach/?snr=1_7_7_240_150_3,"Horror, Singleplayer, Survival Horror, Robots, First-Person, Multiple Endings, Stealth, Exploration, 3D, Action, Adventure, Story Rich, Indie, Artificial Intelligence, Thriller, Action-Adventure, Colorful, Family Friendly, Cartoony, Atmospheric","In Five Nights at Freddy’s: Security Breach, play as Gregory, a young boy who’s been trapped overnight inside of Freddy Fazbear’s Mega Pizzaplex. With the help of Freddy himself, Gregory must uncover the secrets of the Pizzaplex, learn the truth, and survive until dawn."
Slay the Princess — The Pristine Cut,https://store.steampowered.com/app/1989270/Slay_the_Princess__The_Pristine_Cut/?snr=1_7_7_240_150_3,"Visual Novel, Choices Matter, Psychological Horror, Horror, Story Rich, Choose Your Own Adventure, Hand-drawn, Romance, Lore-Rich, Point & Click, Interactive Fiction, CRPG, First-Person, Simulation, Dating Sim, Singleplayer, Adventure, Dark Humor, Comic Book, RPG",You're here to slay the princess. Don't believe her lies.
SCP: 5K,https://store.steampowered.com/app/872670/SCP_5K/?snr=1_7_7_240_150_3,"Strategy, Co-op, Horror, Shooter, Tactical, Multiplayer, FPS, Co-op Campaign, Immersive, Gun Customization, First-Person, Realistic, Singleplayer, Military, Combat, Conspiracy, Lore-Rich, Action, Story Rich, Early Access",SCP: 5K is a co-op or singleplayer tactical horror FPS project that puts players in the midst of a conspiracy where the SCP Foundation has turned on humanity. Enjoy Early Access as we continue to work towards a completed full release of the project!
Ground Zero,https://store.steampowered.com/app/2340130/Ground_Zero/?snr=1_7_7_240_150_3,"Survival Horror, Zombies, Action, Adventure, Third-Person Shooter, 2.5D, Stylized, Third Person, Foreign, Atmospheric, Dark, Horror, Shooter, Old School, Post-apocalyptic, Retro, Character Customization, Sci-fi, Combat, Controller",Fight through post-apocalyptic South Korea in this retro survival horror. Uncover the truth behind the devastating meteor impact that left the country in ruins and turned every living organism into a terrifying monstrosity. Fight. Solve puzzles. Upgrade gear. Make every bullet count.
Final Sentence,https://store.steampowered.com/app/2413950/Final_Sentence/?snr=1_7_7_240_150_3,"Typing, Horror, Simulation, Survival, Battle Royale, Multiplayer, PvP, Survival Horror, Psychological Horror, Thriller, Atmospheric, Text-Based, Noir, Indie, 3D, Education, Dystopian","Final Sentence is a Battle Royale typing game. Together with other players, you find yourself in a hangar, with a typewriter in front of you and a revolver loaded with a single bullet at your temple. Every mistake can be fatal. Only one will remain."
Unknown,https://store.steampowered.com/app/4318580/Dead_by_Daylight_Stranger_Things_Chapter_2/?snr=1_7_7_240_150_3,,No description
The Headliners,https://store.steampowered.com/app/3059070/The_Headliners/?snr=1_7_7_240_150_3,"Online Co-Op, Horror, Co-op, Funny, Multiplayer, Action, Indie, Action-Adventure, Team-Based, Gore, Destruction, First-Person, Atmospheric, Dark, Singleplayer, Violent, Survival Horror, Souls-like, Psychological Horror, LGBTQ+","Co-op horror game where you play in teams of 1 to 8 reckless journalists, ready to explore a city overrun by deadly creatures to snap spectacular footage. Your only goal: make the headlines without becoming one."
Undertale,https://store.steampowered.com/app/391540/Undertale/?snr=1_7_7_240_150_4,"Great Soundtrack, Story Rich, Choices Matter, Multiple Endings, Pixel Graphics, Funny, RPG, Singleplayer, Indie, 2D, Comedy, Replay Value, Bullet Hell, Cute, Memes, Retro, Dark, Psychological Horror, Dating Sim, Horror",UNDERTALE! The RPG game where you don't have to destroy anyone.
Lobotomy Corporation | Monster Management Simulation,https://store.steampowered.com/app/568220/Lobotomy_Corporation__Monster_Management_Simulation/?snr=1_7_7_240_150_4,"Management, Difficult, Psychological Horror, Story Rich, Simulation, Horror, Gore, Great Soundtrack, Singleplayer, Indie, Strategy, 2D, Cute, Lovecraftian, Anime, Atmospheric, Roguelike, Visual Novel, RTS, Roguelite","A roguelite monster-management simulation inspired by the likes of the SCP Foundation, Cabin in the Woods, and Warehouse 13. Order your employees to perform work with the creatures and watch as it unfolds; harness greater energy, and expand the facility"
Dead Space™ 2,https://store.steampowered.com/app/47780/Dead_Space_2/?snr=1_7_7_240_150_4,"Horror, Survival Horror, Third-Person Shooter, Shooter, Survival, Action, Third Person, Story Rich, Sci-fi, Space, Atmospheric, Multiplayer, Singleplayer, Aliens, Gore, Futuristic, Adventure, Combat, Co-op, Blood","Three years after the Necromorph infestation aboard the USS Ishimura, Isaac Clarke awakens from a coma, confused, disoriented, and on a space station called The Sprawl. Explore this world and its zero-g environments to discover the truth about the Unitology and its role in the Necromorph epidemic."
Danganronpa 2: Goodbye Despair,https://store.steampowered.com/app/413420/Danganronpa_2_Goodbye_Despair/?snr=1_7_7_240_150_4,"Anime, Detective, Visual Novel, Mystery, Story Rich, Great Soundtrack, Singleplayer, Psychological Horror, Adventure, Dark Comedy, Horror, Puzzle, Atmospheric, Dark, Comedy, Dating Sim, Mature, Funny, Memes, Walking Simulator","Jabberwock Island—You and your classmates were ready for fun in the sun until Monokuma returned to restart his murderous game! Trapped in a kill-or-be-killed situation, your only hope rests in solving the island’s mysteries."
Cursed Companions,https://store.steampowered.com/app/3265230/Cursed_Companions/?snr=1_7_7_240_150_4,"Early Access, Funny, Online Co-Op, Comedy, Multiplayer, Exploration, Dungeon Crawler, First-Person, Voice Control, Fantasy, Procedural Generation, Psychological Horror, Team-Based, Horror, Action-Adventure, Social Deduction, Action, Action Roguelike, 3D, Adventure","If we say the wrong words... WE DIE! This game kills you with your own voices! Online co-op where everyone gets a forbidden word, say it and you kill your friends. Explore spooky dungeons, cast spells and defeat monsters with your voices."
Unknown,https://store.steampowered.com/app/222480/Resident_Evil_Revelations/?snr=1_7_7_240_150_4,Gore,No description
Look Outside,https://store.steampowered.com/app/3373660/Look_Outside/?snr=1_7_7_240_150_4,"RPG, Survival Horror, Horror, Pixel Graphics, Lovecraftian, Turn-Based Combat, RPGMaker, Adventure, Atmospheric, 2D, Exploration, Gore, Dark, Singleplayer, Indie, Violent, Mystery, Old School, Great Soundtrack, Isometric","Look Outside is a survival horror RPG set in a single apartment building. A mysterious event turns anyone who looks out the window into grotesque monsters, leaving the world in absolute chaos. Scavenge the building to seek food, supplies, and weapons while encountering strange characters."
Into the Dead: Our Darkest Days,https://store.steampowered.com/app/2239710/Into_the_Dead_Our_Darkest_Days/?snr=1_7_7_240_150_4,"Early Access, Survival, Zombies, Side Scroller, Horror, Strategy, 2.5D, Survival Horror, Immersive Sim, Post-apocalyptic, Stealth, Management, Atmospheric, Crafting, Action, Choices Matter, Perma Death, Psychological Horror, Simulation, Psychological","Texas, 1980. Walton City has fallen to a zombie outbreak. Lead a band of desperate survivors from refuge to refuge by scavenging, crafting, and fighting in a relentless struggle for survival. Plan wisely, stick together, and — above all — keep moving if you want to make it out alive."
Baby Steps,https://store.steampowered.com/app/1281040/Baby_Steps/?snr=1_7_7_240_150_4,"Walking Simulator, Action, Adventure, Exploration, Comedy, Casual, Funny, Third Person, 3D, Physics, Singleplayer, Indie, Controller, Difficult, Psychological Horror, Nature, Satire, Horror, Sexual Content, LGBTQ+","Play as Nate, an unemployed failson with nothing going for him, until one day he discovers a power he never knew he had… putting one foot in front of the other."
Unknown,https://store.steampowered.com/app/1577120/The_Quarry/?snr=1_7_7_240_150_4,,No description
Blasphemous 2,https://store.steampowered.com/app/2114740/Blasphemous_2/?snr=1_7_7_240_150_4,"Combat, Fantasy, Metroidvania, Souls-like, Adventure, Pixel Graphics, 2D Platformer, Difficult, Side Scroller, Hack and Slash, Unforgiving, 2D, Platformer, Action RPG, Horror, Lore-Rich, Action-Adventure, Story Rich, Multiple Endings, Dark Fantasy","The Penitent One awakens as Blasphemous 2 joins him once again in an endless struggle against The Miracle. Dive into a perilous new world filled with mysteries and secrets to discover, and tear your way through monstrous foes that stand between you and your quest to end the cycle once and for all."
Six Days in Fallujah,https://store.steampowered.com/app/1548850/Six_Days_in_Fallujah/?snr=1_7_7_240_150_4,"Early Access, Military, Tactical, Realistic, FPS, Singleplayer, Co-op, War, Multiplayer, Shooter, Survival Horror, Team-Based, Simulation, Stealth, Online Co-Op, First-Person, Wargame, Horror, Historical, PvE",Six Days in Fallujah is an intensely realistic first-person tactical shooter based on true stories from one of this century’s toughest urban battles.
Metro 2033 Redux,https://store.steampowered.com/app/286690/Metro_2033_Redux/?snr=1_7_7_240_150_4,"Post-apocalyptic, FPS, Atmospheric, Story Rich, Horror, Action, Singleplayer, First-Person, Shooter, Stealth, Survival Horror, Based On A Novel, Survival, Multiplayer, Adventure, Remake, Gore, Mature, Classic, Open World","In 2013 the world was devastated by an apocalyptic event, annihilating almost all mankind and turning the Earth's surface into a poisonous wasteland. A handful of survivors took refuge in the depths of the Moscow underground, and human civilization entered a new Dark Age. The year is 2033."
Dark Hours,https://store.steampowered.com/app/2208570/Dark_Hours/?snr=1_7_7_240_150_4,"Horror, Online Co-Op, Multiplayer, Heist, Co-op, Funny, Survival Horror, Team-Based, Survival, Psychological Horror, Atmospheric, Procedural Generation, Dark, Supernatural, Mystery, PvE, Stealth, Action, Exploration, First-Person","Dark Hours is a co-op survival horror game for 1-4 players. Your heist has been disrupted by a supernatural event, and your team of robbers is now trapped with an evil entity. Forget your plan, your mission is to survive. Explore and cooperate to find a way out."
Left 4 Dead,https://store.steampowered.com/app/500/Left_4_Dead/?snr=1_7_7_240_150_4,"Zombies, Co-op, Multiplayer, FPS, Action, Horror, Shooter, Online Co-Op, Survival, Team-Based, First-Person, Post-apocalyptic, Singleplayer, Atmospheric, Moddable, Adventure, Tactical, Replay Value, Competitive, Female Protagonist","From Valve (the creators of Counter-Strike, Half-Life and more) comes Left 4 Dead, a co-op action horror game for the PC and Xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters."
Unknown,https://store.steampowered.com/app/1649240/Returnal/?snr=1_7_7_240_150_4,,No description
People Playground,https://store.steampowered.com/app/1118200/People_Playground/?snr=1_7_7_240_150_4,"Sandbox, Gore, Physics, Blood, Violent, Moddable, 2D, Singleplayer, Destruction, Simulation, Funny, Building, Pixel Graphics, Psychological Horror, Indie, Action, Casual, Comedy, Horror, Choose Your Own Adventure","Shoot, stab, burn, poison, tear, vaporise, or crush ragdolls in a large open space."
The Séance of Blake Manor,https://store.steampowered.com/app/1395520/The_Sance_of_Blake_Manor/?snr=1_7_7_240_150_4,"Supernatural, Detective, Puzzle, Singleplayer, Atmospheric, Mystery, Adventure, Noir, Indie, Story Rich, Mythology, Investigation, Historical, Word Game, First-Person, Choices Matter, Dark, Narrative, Horror, Psychological Horror","The Séance of Blake Manor is a supernatural detective mystery, set in 1897 Ireland, where you investigate the disappearance of Evelyn Deane in a remote hotel full of secrets and other-worldly occurrences."
Metro: Last Light Redux,https://store.steampowered.com/app/287390/Metro_Last_Light_Redux/?snr=1_7_7_240_150_4,"Post-apocalyptic, FPS, Atmospheric, Action, Story Rich, Horror, Singleplayer, First-Person, Shooter, Stealth, Survival, Based On A Novel, Adventure, Survival Horror, Nudity, Remake, Sci-fi, Multiplayer, Difficult, Open World","It is the year 2034. Beneath the ruins of post-apocalyptic Moscow, in the tunnels of the Metro, the remnants of mankind are besieged by deadly threats from outside – and within. Mutants stalk the catacombs beneath the desolate surface, and hunt amidst the poisoned skies above."
Unknown,https://store.steampowered.com/app/287290/Resident_Evil_Revelations_2/?snr=1_7_7_240_150_4,Gore,No description
We Gotta Go,https://store.steampowered.com/app/3967470/We_Gotta_Go/?snr=1_7_7_240_150_4,"Online Co-Op, Indie, Comedy, Funny, Horror, First-Person, Co-op, Cartoony, Combat, Exploration, Multiplayer, Action, Atmospheric, Physics, Character Customization, Dark Humor, Simulation, Action-Adventure, Roguelike, Lovecraftian","We Gotta Go is a co-op horror comedy that’ll scare the crap out of you—literally. Team up to reach the only bathroom in a haunted mansion before your bowels betray you. Scavenge for items, fend off ghosts, and fight through cursed halls together in a desperate hunt for sweet relief."
Voodoo Fishin',https://store.steampowered.com/app/3071240/Voodoo_Fishin/?snr=1_7_7_240_150_4,"Early Access, Exploration, Fishing, First-Person, Adventure, 3D Platformer, Multiplayer, PvE, Stylized, Platformer, Character Customization, 3D, Cute, FPS, Dark Humor, Horror, Funny, Online Co-Op, Action-Adventure, Choices Matter","A creepy-cozy co-op fishing game for 1–4 players with proximity voice chat. Explore a haunted swamp for rare fish, sell your haul by the pound, and try to survive what hunts you in the dark."
Cookie Clicker,https://store.steampowered.com/app/1454400/Cookie_Clicker/?snr=1_7_7_240_150_4,"Clicker, Idler, Casual, Indie, Horror, Pixel Graphics, Management, Economy, Collectathon, Funny, Resource Management, 2D, Memes, Strategy, Comedy, Simulation, Building, Colorful, Singleplayer, Touch-Friendly","An idle game about making cookies! Originally released in 2013 on the web, and actively developed since then. This is the official version for Steam."
Darkest Dungeon®,https://store.steampowered.com/app/262060/Darkest_Dungeon/?snr=1_7_7_240_150_4,"Turn-Based Combat, Dungeon Crawler, Dark Fantasy, Roguelike, RPG, Lovecraftian, Difficult, Turn-Based, Singleplayer, Perma Death, Strategy, Atmospheric, Dark, Indie, 2D, Roguelite, Horror, Gothic, Fantasy, Kickstarter","Darkest Dungeon is a challenging gothic roguelike turn-based RPG about the psychological stresses of adventuring. Recruit, train, and lead a team of flawed heroes against unimaginable horrors, stress, disease, and the ever-encroaching dark. Can you keep your heroes together when all hope is lost?"
Unknown,https://store.steampowered.com/app/1634040/Dead_by_Daylight__Resident_Evil_Chapter/?snr=1_7_7_240_150_4,"Gore, Violent, Sexual Content",No description
Unknown,https://store.steampowered.com/app/19680/Alice_Madness_Returns/?snr=1_7_7_240_150_4,,No description
Scorn,https://store.steampowered.com/app/698670/Scorn/?snr=1_7_7_240_150_4,"Gore, Horror, Atmospheric, Puzzle, Sexual Content, First-Person, Dark, Nudity, Psychological Horror, Adventure, Lovecraftian, Violent, Singleplayer, Walking Simulator, Sci-fi, Surreal, Indie, Survival Horror, Action, FPS",Scorn is an atmospheric first-person horror adventure game set in a nightmarish universe of odd forms and somber tapestry.
Aliens: Dark Descent,https://store.steampowered.com/app/1150440/Aliens_Dark_Descent/?snr=1_7_7_240_150_4,"Strategy, Action, Tactical, RTS, Real Time Tactics, Sci-fi, Singleplayer, Aliens, Horror, Dark, Top-Down, Survival, Action-Adventure, Space, 3D, Violent, Isometric, Stealth, Combat, Top-Down Shooter","Drop into the gripping journey of Aliens: Dark Descent, a squad-based, single-player action game in the iconic Alien franchise. Lead your soldiers in real-time to stop a new and terrifying kind of Xenomorph outbreak on Planet Lethe."
The Stanley Parable: Ultra Deluxe,https://store.steampowered.com/app/1703340/The_Stanley_Parable_Ultra_Deluxe/?snr=1_7_7_240_150_4,"Multiple Endings, Choices Matter, Comedy, Walking Simulator, Narration, First-Person, Singleplayer, Funny, Psychological Horror, Exploration, 3D, Story Rich, Adventure, Casual, Mystery, Emotional, Dark Humor, Atmospheric, Horror, Game Development","The Stanley Parable: Ultra Deluxe is an expanded re-imagining of 2013's The Stanley Parable. You will play as Stanley, and you will not play as Stanley. You will make a choice, and you will become powerless. You are not here to win. The Stanley Parable is a game that plays you."
DEVOUR,https://store.steampowered.com/app/1274570/DEVOUR/?snr=1_7_7_240_150_4,"Horror, Online Co-Op, Multiplayer, Survival Horror, Sexual Content, Co-op, Psychological Horror, Dark, Survival, First-Person, VR, Atmospheric, Indie, Gore, Difficult, Puzzle, Singleplayer, Violent, Action, Stealth",DEVOUR is a co-op horror survival game for 1-4 players. Stop possessed cultists before they drag you to hell. Run. Scream. Hide. Just don't get caught.
OMORI,https://store.steampowered.com/app/1150690/OMORI/?snr=1_7_7_240_150_4,"Psychological Horror, Story Rich, Indie, Pixel Graphics, Great Soundtrack, RPG, Multiple Endings, RPGMaker, Hand-drawn, Horror, 2D, Colorful, Turn-Based, Atmospheric, Party-Based RPG, Exploration, JRPG, Stylized, Anime, Fantasy","Explore a strange world full of colorful friends and foes. When the time comes, the path you’ve chosen will determine your fate... and perhaps the fate of others as well."
Forbidden Solitaire,https://store.steampowered.com/app/3414580/Forbidden_Solitaire/?snr=1_7_7_240_150_4,"Horror, Solitaire, 1990's, Dark Fantasy, Survival Horror, FMV, Old School, Card Game, Visual Novel, Interactive Fiction, Point & Click, Card Battler, 2.5D, Colorful, Dungeon Crawler, Atmospheric, Dark, Dark Humor, Demons, Casual",Forbidden Solitaire is a card-slashing horror game about unearthing the contents of a cryptic 1995 CD-ROM that should have never existed. From the creators of Ancient Enemy and Home Safety Hotline.
Unknown,https://store.steampowered.com/app/782330/DOOM_Eternal/?snr=1_7_7_240_150_4,,No description
Idols of Ash,https://store.steampowered.com/app/4450800/Idols_of_Ash/?snr=1_7_7_240_150_4,"Horror, Atmospheric, Dark Fantasy, Parkour, Simulation, 3D Platformer, First-Person, Dark, Exploration, Physics, Adventure, Action, Platformer, Fantasy, Indie, Controller, Singleplayer","Grapple, clamber and fall thousands of meters down into a dark and ancient place in this first-person horror climbing game. You are being hunted."
Unknown,https://store.steampowered.com/app/2102730/Dead_by_Daylight__Resident_Evil_PROJECT_W_Chapter/?snr=1_7_7_240_150_4,"Gore, Violent, Sexual Content, NSFW",No description
Unknown,https://store.steampowered.com/app/1097840/Gears_5/?snr=1_7_7_240_150_4,,No description
The Mortuary Assistant,https://store.steampowered.com/app/1295920/The_Mortuary_Assistant/?snr=1_7_7_240_150_4,"Horror, Supernatural, Demons, Mystery, Atmospheric, Surreal, Simulation, Singleplayer, First-Person, Multiplayer, Indie, Adventure, Dark, Exploration, 3D, Realistic, Thriller, Female Protagonist, Hidden Object, Medical Sim","Alone with the dead... Embalm corpses, banish demons, save your soul."
Unknown,https://store.steampowered.com/app/601050/Attack_on_Titan_2__AOT2/?snr=1_7_7_240_150_4,"Gore, Nudity",No description
A Quiet Place: The Road Ahead,https://store.steampowered.com/app/2233120/A_Quiet_Place_The_Road_Ahead/?snr=1_7_7_240_150_4,"Stealth, Survival Horror, Horror, Female Protagonist, First-Person, Walking Simulator, Thriller, Post-apocalyptic, Story Rich, Atmospheric, Adventure, Linear, Drama, Emotional, Cinematic, Aliens, Multiplayer, Silent Protagonist, Puzzle, Action",A Quiet Place: The Road Ahead is a single-player horror adventure game inspired by the critically acclaimed blockbuster movie franchise. Survive in silence.
Vampyr,https://store.steampowered.com/app/427290/Vampyr/?snr=1_7_7_240_150_4,"Vampire, RPG, Choices Matter, Story Rich, Open World, Singleplayer, Action, Atmospheric, Third Person, Horror, Dark Fantasy, Violent, Dark, Souls-like, Action RPG, Gore, Adventure, Sexual Content, Action-Adventure, Stealth","London, 1918. You are newly-turned Vampyr Dr. Jonathan Reid. As a doctor, you must find a cure to save the city’s flu-ravaged citizens. As a Vampyr, you are cursed to feed on those you vowed to heal."
Mortal Sin,https://store.steampowered.com/app/1494810/Mortal_Sin/?snr=1_7_7_240_150_4,"First-Person, Action Roguelike, Dungeon Crawler, Hack and Slash, RPG, Indie, Action, Roguelite, Dark Fantasy, Procedural Generation, Roguelike, Singleplayer, Loot, Horror, Gore, Violent, Stylized, Swordplay, Boomer Shooter, Souls-like","Mortal Sin is a chaotic, blood-soaked roguelike where skill is power, and overconfidence is death. Carve through procedurally generated nightmares with brutal melee and flashy, satisfying combos."
Unknown,https://store.steampowered.com/app/3796620/Dead_by_Daylight_Five_Nights_at_Freddys/?snr=1_7_7_240_150_4,,No description
Black Mesa,https://store.steampowered.com/app/362890/Black_Mesa/?snr=1_7_7_240_150_4,"FPS, Remake, Action, Sci-fi, First-Person, Singleplayer, Shooter, Atmospheric, Classic, Story Rich, Great Soundtrack, Aliens, Zombies, Adventure, Horror, Multiplayer, Indie, Mod, Gore, Early Access",Relive Half-Life.
